tambon_th,tambon_en,province_th,province_en,latitude,longitude,st_no,men,women
บุ่งคล้า,BungKhla,ชัยภูมิ,Chaiyaphum,15.759,102.056,14,10,4
โพธิ์ศรีสำราญ,PhoSiSamran,อุดรธานี,Udon Thani,16.983,102.839,9,8,1
หนองสาหร่าย,NongSarai,สุพรรณบุรี,Suphan Buri,14.671,100.011,6,5,1
วังเย็น,WangYen,กาญจนบุรี,Kanchanaburi,13.954,99.4,14,6,8
สารภี,Saraphi,นครราชสีมา,Nakhon Ratchasima,14.814,102.417,4,4,0
ซับจำปา,SapChampa,ลพบุรี,Lop Buri,15.026,101.228,5,2,3
เขาถ่าน,KhaoThan,สุราษฎร์ธานี,Surat Thani,9.31,99.188,10,7,3
เขาถ่าน,KhaoThan,สุราษฎร์ธานี,Surat Thani,9.31,99.188,47,24,23
วังงิ้ว,WangNgio,พิจิตร,Phichit,16,100.741,3,1,2
ราษฎร์เจริญ,RatCharoen,มหาสารคาม,Maha Sarakham,15.456,103.321,0,0,0
ดงละคร,DongLakhon,นครนายก,Nakhon Nayok,14.136,101.167,5,5,0
แก่งผักกูด,KaengPhakKut,ลพบุรี,Lop Buri,15.014,101.085,3,2,1
ถ้ำพรรณรา,ThamPhannara,นครศรีธรรมราช,Nakhon Si Thammarat,8.414,99.373,4,2,2
ขามเรียง,KhamRiang,มหาสารคาม,Maha Sarakham,16.247,103.236,26,21,5
หนองปรือ,NongPrue,ชลบุรี,Chon Buri,12.92,100.935,1741,1484,257
หนองปรือ,NongPrue,ชลบุรี,Chon Buri,12.92,100.935,1785,1417,368
ดอนตาล,DonTan,มุกดาหาร,Mukdahan,16.299,104.905,87,33,54
ดอนตาล,DonTan,มุกดาหาร,Mukdahan,16.299,104.905,50,24,26
ทุ่งปี้,ThungPi,เชียงใหม่,Chiang Mai,18.587,98.741,55,30,25
ดงบัง,DongBang,อำนาจเจริญ,Amnat Charoen,15.716,104.765,2,2,0
หนองพยอม,NongPhayom,พิจิตร,Phichit,16.235,100.46,2,2,0
งัวบา,NguaBa,มหาสารคาม,Maha Sarakham,15.955,103.347,6,3,3
บัวใหญ่,BuaYai,นครราชสีมา,Nakhon Ratchasima,15.602,102.438,13,7,6
บัวใหญ่,BuaYai,นครราชสีมา,Nakhon Ratchasima,15.602,102.438,28,20,8
หัวขวาง,HuaKhwang,มหาสารคาม,Maha Sarakham,16.249,103.065,16,9,7
หัวขวาง,HuaKhwang,มหาสารคาม,Maha Sarakham,16.249,103.065,20,17,3
ห้วยลึก,HuaiLuek,เพชรบุรี,Phetchaburi,13.008,99.793,0,0,0
หนองไผ่,NongPhai,กาญจนบุรี,Kanchanaburi,13.808,99.44,16,7,9
หนองตะไก้,NongTakai,นครราชสีมา,Nakhon Ratchasima,14.654,102.397,12,9,3
ท่าข้าม,ThaKham,ตรัง,Trang,7.172,99.69,6,3,3
ท่าข้าม,ThaKham,ตรัง,Trang,7.172,99.69,4,2,2
พนานิคม,PhanaNikhom,ระยอง,Rayong,12.902,101.135,36,15,21
ฟ้าห่วน,FaHuan,ยโสธร,Yasothon,15.339,104.405,1,1,0
คูเต่า,KhuTao,สงขลา,Songkhla,7.133,100.481,7,6,1
บึงอ้อ,BuengO,นครราชสีมา,Nakhon Ratchasima,15.028,101.932,3,2,1
ดูกอึ่ง,DukUeng,ร้อยเอ็ด,Roi Et,15.559,104.016,7,4,3
ขามเฒ่า,KhamThao,นครพนม,Nakhon Phanom,17.263,104.764,9,6,3
ฟ้าหยาด,FaYat,ยโสธร,Yasothon,15.514,104.256,6,4,2
ฟ้าหยาด,FaYat,ยโสธร,Yasothon,15.514,104.256,3,1,2
ช้างขวา,ChangKhwa,สุราษฎร์ธานี,Surat Thani,9.103,99.442,5,2,3
พิเทน,Phithen,ปัตตานี,Pattani,6.679,101.467,1,1,0
เขาน้อย,KhaoNoi,กาญจนบุรี,Kanchanaburi,13.919,99.588,79,40,39
เหล่าทอง,,บึงกาฬ,Bueng Kan,18.144,103.442,5,4,1
บัวน้อย,BuaNoi,ศรีสะเกษ,Si Sa Ket,15.173,104.478,2,0,2
โนนเมืองพัฒนา,NonMueangPhatthana,นครราชสีมา,Nakhon Ratchasima,15.304,101.897,1,1,0
ห้วยบง,HuaiBong,ชัยภูมิ,Chaiyaphum,15.843,102.167,1,1,0
มะขามเตี้ย,MakhamTia,สุราษฎร์ธานี,Surat Thani,9.112,99.347,5,3,2
มะขามเตี้ย,MakhamTia,สุราษฎร์ธานี,Surat Thani,9.112,99.347,120,78,42
สลักได,SalakDai,สุรินทร์,Surin,14.855,103.562,42,37,5
น้ำน้อย,NamNoi,สงขลา,Songkhla,7.108,100.53,25,21,4
พะลาน,Phalan,อุบลราชธานี,Ubon Ratchathani,15.96,105.332,319,112,207
หนองเลิง,,บึงกาฬ,Bueng Kan,18.328,103.393,5,5,0
สันกลาง,SanKlang,เชียงราย,Chiang Rai,19.607,99.684,123,60,63
บ้านหวาย,BanWai,มหาสารคาม,Maha Sarakham,15.812,103.294,5,3,2
จันเสน,ChanSen,นครสวรรค์,Nakhon Sawan,15.103,100.439,5,0,5
เมืองปราสาท,MueangPrasat,นครราชสีมา,Nakhon Ratchasima,15.201,102.194,4,4,0
วังไม้แดง,WangMaiDaeng,นครราชสีมา,Nakhon Ratchasima,15.684,102.632,2,1,1
ห้วยโป่ง,HuaiPong,เพชรบูรณ์,Phetchabun,16.141,101.034,7,4,3
สารจิตร,Sarachit,สุโขทัย,Sukhothai,17.42,99.728,5,5,0
บ้าหวี,BaWi,ตรัง,Trang,7.283,99.597,3,0,3
พังเคน,PhangKhen,อุบลราชธานี,Ubon Ratchathani,15.921,105.212,52,23,29
ห้วยยาง,HuaiYang,นครราชสีมา,Nakhon Ratchasima,15.626,102.363,4,3,1
