tambon_th,tambon_en,province_th,province_en,latitude,longitude,st_no,men,women
คลองประสงค์,KhlongPrasong,กระบี่,Krabi,7.954,98.806,6,2,4
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.709,99.894,6,4,2
แขวงบวรนิเวศ,BowonNiwet,กรุงเทพมหานคร,Bangkok,13.757,100.501,61,47,14
แขวงสี่พระยา,,กรุงเทพมหานคร,Bangkok,13.725,100.514,817,467,350
เกาะแก้ว,KoKaeo,ภูเก็ต,Phuket,7.953,98.451,107,81,26
แขวงจักรวรรดิ,,กรุงเทพมหานคร,Bangkok,13.741,100.504,212,136,76
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.584,99.455,6,4,2
แขวงวัดสามพระยา,WatSamPhraya,กรุงเทพมหานคร,Bangkok,13.768,100.499,30,17,13
เขาทอง,KhaoThong,กระบี่,Krabi,8.079,98.677,32,19,13
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.644,100.889,146,103,43
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.644,100.889,85,51,34
บางน้ำจืด,BangNamChuet,ชุมพร,Chumphon,10.051,99.188,2,1,1
แขวงคลองมหานาค,,กรุงเทพมหานคร,Bangkok,13.753,100.513,189,107,82
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.564,99.345,6,4,2
ท้องเนียน,ThongNian,นครศรีธรรมราช,Nakhon Si Thammarat,9.324,99.775,30,19,11
แขวงบางรัก,,กรุงเทพมหานคร,Bangkok,13.727,100.527,96,63,33
แขวงป้อมปราบ,,กรุงเทพมหานคร,Bangkok,13.743,100.514,539,295,244
โกรกกราก,KrokKrak,สมุทรสาคร,Samut Sakhon,13.533,100.276,33,24,9
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.548,99.663,246,128,118
แขวงมหาพฤฒาราม,,กรุงเทพมหานคร,Bangkok,13.734,100.52,186,93,93
คลองยาง,KhlongYang,กระบี่,Krabi,7.848,99.069,4,2,2
บางหิน,BangHin,ระนอง,Ranong,9.575,98.515,69,39,30
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,9.371,97.866,163,67,96
เกาะกลาง,KoKlang,กระบี่,Krabi,7.738,99.126,7,5,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.612,99.712,246,128,118
แขวงหิรัญรูจี,,กรุงเทพมหานคร,Bangkok,13.731,100.49,114,73,41
บางชัน,BangChan,จันทบุรี,Chanthaburi,12.292,102.239,5,2,3
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.714,99.878,6,4,2
ตลิ่งงาม,TalingNgam,สุราษฎร์ธานี,Surat Thani,9.307,99.961,84,63,21
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.429,99.671,246,128,118
แขวงสมเด็จเจ้าพระยา,,กรุงเทพมหานคร,Bangkok,13.731,100.497,349,193,156
ด่านสวี,DanSawi,ชุมพร,Chumphon,10.254,99.256,6,3,3
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.698,99.675,246,128,118
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,8.593,97.63,163,67,96
แขวงวังบูรพาภิรมย์,WangBuraphaPhirom,กรุงเทพมหานคร,Bangkok,13.744,100.499,231,134,97
แสมสาร,SamaeSan,ชลบุรี,Chon Buri,12.586,100.963,70,38,32
มะขามหย่ง,MakhamYong,ชลบุรี,Chon Buri,13.372,100.985,31,22,9
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.658,99.681,246,128,118
แขวงวัดกัลยาณ์,,กรุงเทพมหานคร,Bangkok,13.737,100.493,67,34,33
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,8.673,97.638,163,67,96
แขวงสีลม,,กรุงเทพมหานคร,Bangkok,13.73,100.525,678,441,237
เกาะลันตาน้อย,KoLantaNoi,กระบี่,Krabi,7.589,99.144,26,11,15
เกาะศรีบอยา,KoSiBoya,กระบี่,Krabi,7.886,99.052,16,10,6
แหลมสัก,LaemSak,กระบี่,Krabi,8.235,98.642,2,1,1
แหลมสัก,LaemSak,กระบี่,Krabi,8.235,98.642,1,0,1
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.683,99.863,6,4,2
แขวงคูหาสวรรค์,,กรุงเทพมหานคร,Bangkok,13.727,100.457,20,8,12
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.395,99.345,7,3,4
เสนา,Sena,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.328,100.404,29,20,9
แขวงวัดอรุณ,,กรุงเทพมหานคร,Bangkok,13.743,100.486,54,31,23
ท่าหิน,ThaHin,ลพบุรี,Lop Buri,14.802,100.611,28,21,7
ตะเสะ,Tase,ตรัง,Trang,7.047,99.471,4,2,2
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.704,99.877,6,4,2
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.715,99.81,6,4,2
แขวงคลองสาน,,กรุงเทพมหานคร,Bangkok,13.735,100.504,347,178,169
เทศบาลเมืองพระประแดง,Talat,สมุทรปราการ,Samut Prakarn,13.656,100.533,115,55,60
บางแก้ว,BangKaeo,อ่างทอง,Ang Thong,14.588,100.459,3,1,2
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.649,99.668,246,128,118
เกาะกลาง,KoKlang,กระบี่,Krabi,7.706,99.117,7,5,2
แขวงมักกะสัน,,กรุงเทพมหานคร,Bangkok,13.752,100.528,324,210,114
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.638,100.871,146,103,43
สัตหีบ,Sattahip,ชลบุรี,Chon Buri,12.638,100.871,85,51,34
แขวงบางจาก,,กรุงเทพมหานคร,Bangkok,13.727,100.45,42,26,16
แขวงคลองชักพระ,,กรุงเทพมหานคร,Bangkok,13.76,100.456,49,22,27
นาคา,Nakha,ระนอง,Ranong,9.544,98.482,267,130,137
กะมัง,Kamang,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.341,100.581,19,12,7
ปากน้ำ,PakNam,ระนอง,Ranong,9.916,98.514,1817,945,872
ปากน้ำ,PakNam,ระนอง,Ranong,9.916,98.514,93,38,55
บางหิน,BangHin,ระนอง,Ranong,9.577,98.485,69,39,30
แขวงวชิรพยาบาล,WachiraPhayaban,กรุงเทพมหานคร,Bangkok,13.778,100.505,154,99,55
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.567,99.45,6,4,2
แขวงรองเมือง,,กรุงเทพมหานคร,Bangkok,13.744,100.52,252,151,101
แขวงถนนพญาไท,,กรุงเทพมหานคร,Bangkok,13.757,100.538,229,142,87
อาเนาะรู,ANoru,ปัตตานี,Pattani,6.87,101.256,77,43,34
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.469,99.67,246,128,118
ตลาดหลวง,TalatLuang,อ่างทอง,Ang Thong,14.592,100.453,35,21,14
แขวงบางยี่เรือ,,กรุงเทพมหานคร,Bangkok,13.72,100.482,171,97,74
แสมสาร,SamaeSan,ชลบุรี,Chon Buri,12.52,100.956,70,38,32
พระสิงห์,PhraSing,เชียงใหม่,Chiang Mai,18.785,98.985,90,51,39
อ่าวนาง,AoNang,กระบี่,Krabi,7.681,98.768,207,154,53
คลองขนาน,KhlongKhanan,กระบี่,Krabi,7.941,99.072,8,4,4
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.699,99.909,6,4,2
จะบังติกอ,ChabangTiko,ปัตตานี,Pattani,6.857,101.251,18,9,9
วัดสิงห์,WatSing,ชัยนาท,Chai Nat,15.263,100.041,6,4,2
แขวงวังใหม่,,กรุงเทพมหานคร,Bangkok,13.742,100.526,1497,773,724
หอรัตนไชย,HoRattanaChai,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.354,100.578,58,32,26
แขวงศิริราช,,กรุงเทพมหานคร,Bangkok,13.759,100.481,112,64,48
ท่าวาสุกรี,ThaWasukri,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.361,100.552,16,12,4
หลังสวน,LangSuan,ชุมพร,Chumphon,9.95,99.09,12,7,5
หายยา,HaiYa,เชียงใหม่,Chiang Mai,18.777,98.984,150,90,60
แขวงวัดพระยาไกร,,กรุงเทพมหานคร,Bangkok,13.706,100.508,348,197,151
โสนลอย,SanoLoi,นนทบุรี,Nonthaburi,13.914,100.422,212,119,93
ราไวย์,Rawai,ภูเก็ต,Phuket,7.517,98.331,388,295,93
บางหิน,BangHin,ระนอง,Ranong,9.58,98.466,69,39,30
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,8.565,97.626,163,67,96
กำพวน,Kamphuan,ระนอง,Ranong,9.483,98.377,201,110,91
เกาะกูด,KoKut,ตราด,Trat,11.719,102.519,84,47,37
แขวงสุริยวงศ์,,กรุงเทพมหานคร,Bangkok,13.724,100.53,296,188,108
หาดทรายรี,HatSaiRi,ชุมพร,Chumphon,10.439,99.292,7,3,4
แขวงพระบรมมหาราชวัง,PhraBoromMahaRatchawang,กรุงเทพมหานคร,Bangkok,13.751,100.492,34,18,16
เกาะพยาม,KoPhayam,ระนอง,Ranong,9.704,98.506,117,57,60
ช้างม่อย,ChangMoi,เชียงใหม่,Chiang Mai,18.796,98.996,1175,584,591
แขวงตลาดพลู,,กรุงเทพมหานคร,Bangkok,13.715,100.473,145,85,60
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,8.486,97.634,163,67,96
เกาะลันตาใหญ่,KoLantaYai,กระบี่,Krabi,7.537,99.127,32,17,15
เกาะลันตาใหญ่,KoLantaYai,กระบี่,Krabi,7.537,99.127,1,0,1
แขวงบางขุนนนท์,,กรุงเทพมหานคร,Bangkok,13.774,100.466,58,30,28
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,8.507,97.632,163,67,96
เกาะลิบง,KoLibong,ตรัง,Trang,7.314,99.253,5,3,2
เกาะพระทอง,KoPhraThong,พังงา,Phang-nga,9.07,97.812,163,67,96
แขวงปากคลองภาษีเจริญ,,กรุงเทพมหานคร,Bangkok,13.722,100.464,81,43,38
ภูเขาทอง,PhuKhaoThong,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.365,100.542,1,1,0
ราไวย์,Rawai,ภูเก็ต,Phuket,7.743,98.378,388,295,93
เกาะลันตาน้อย,KoLantaNoi,กระบี่,Krabi,7.63,99.145,26,11,15
ท่าฉลอม,ThaChalom,สมุทรสาคร,Samut Sakhon,13.538,100.269,42,23,19
ในเมือง,NaiMueang,ชัยนาท,Chai Nat,15.181,100.127,13,7,6
ศรีพนมมาศ,SiPhanomMat,อุตรดิตถ์,Uttaradit,17.652,100.039,1,1,0
บาราโหม,BaraHom,ปัตตานี,Pattani,6.873,101.317,2,1,1
แขวงสวนจิตรลดา,SuanChitLada,กรุงเทพมหานคร,Bangkok,13.767,100.52,50,28,22
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.662,99.849,6,4,2
แขวงคลองต้นไทร,,กรุงเทพมหานคร,Bangkok,13.725,100.508,376,245,131
บางทราย,BangSai,ชลบุรี,Chon Buri,13.393,100.996,46,31,15
ปากคลอง,PakKhlong,ชุมพร,Chumphon,10.856,99.487,1,1,0
แขวงคลองตัน,,กรุงเทพมหานคร,Bangkok,13.723,100.571,540,329,211
เกาะหมาก,KoMak,ตราด,Trat,11.842,102.526,12,7,5
เกาะสาหร่าย,KoSarai,สตูล,Satun,6.491,99.304,6,4,2
แขวงทุ่งวัดดอน,,กรุงเทพมหานคร,Bangkok,13.71,100.532,649,413,236
แขวงปทุมวัน,,กรุงเทพมหานคร,Bangkok,13.74,100.535,32,20,12
แขวงบางคอแหลม,,กรุงเทพมหานคร,Bangkok,13.696,100.494,362,208,154
ในเมือง,NaiMueang,ขอนแก่น,Khon Kaen,16.035,102.723,7,5,2
ในเมือง,NaiMueang,ขอนแก่น,Khon Kaen,16.035,102.723,174,116,58
แขวงคลองเตยเหนือ,,กรุงเทพมหานคร,Bangkok,13.743,100.56,1316,795,521
ป่าคลอก,PaKhlok,ภูเก็ต,Phuket,8.055,98.464,147,102,45
คลัง,Khlang,นครศรีธรรมราช,Nakhon Si Thammarat,8.434,99.966,59,38,21
แขวงบ้านช่างหล่อ,,กรุงเทพมหานคร,Bangkok,13.752,100.477,125,60,65
คลองสระบัว,KhlongSaBua,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.371,100.563,7,6,1
คลองสระบัว,KhlongSaBua,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.371,100.563,2,0,2
แขวงยานนาวา,,กรุงเทพมหานคร,Bangkok,13.714,100.514,740,428,312
ชุมแสง,ChumSaeng,นครสวรรค์,Nakhon Sawan,15.896,100.315,15,8,7
แขวงดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,13.772,100.513,88,48,40
แขวงบางบำหรุ,,กรุงเทพมหานคร,Bangkok,13.781,100.482,100,49,51
คลองเกลือ,KhlongKluea,นนทบุรี,Nonthaburi,13.902,100.55,54,36,18
แขวงบางลำภูล่าง,,กรุงเทพมหานคร,Bangkok,13.715,100.501,608,342,266
แขวงถนนเพชรบุรี,,กรุงเทพมหานคร,Bangkok,13.752,100.559,258,153,105
เวียงคอย,WiangKhoi,เพชรบุรี,Phetchaburi,13.121,99.9,1,0,1
ป่าตัน,PaTan,เชียงใหม่,Chiang Mai,18.811,98.999,190,112,78
บางพุทรา,BangPhutsa,สิงห์บุรี,Sing Buri,14.89,100.404,13,10,3
แขวงทุ่งพญาไท,,กรุงเทพมหานคร,Bangkok,13.763,100.53,582,304,278
หัวรอ,HuaRo,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.368,100.578,48,30,18
เกาะลันตาใหญ่,KoLantaYai,กระบี่,Krabi,7.207,99.061,32,17,15
เกาะลันตาใหญ่,KoLantaYai,กระบี่,Krabi,7.207,99.061,1,0,1
ยายแพง,YaiPhaeng,สมุทรสงคราม,Samut Songkhram,13.487,99.958,0,0,0
บ้านโป่ง,BanPong,ราชบุรี,Ratchaburi,13.816,99.873,145,75,70
บางหัวเสือ,BangHuaSuea,สมุทรปราการ,Samut Prakarn,13.625,100.549,22,11,11
บางปลาสร้อย,BangPlaSoi,ชลบุรี,Chon Buri,13.364,100.987,44,26,18
นครนายก,NakhonNayok,นครนายก,Nakhon Nayok,14.204,101.219,110,64,46
บางนกแขวก,BangNokKhwaek,สมุทรสงคราม,Samut Songkhram,13.504,99.923,18,8,10
แหลมสัก,LaemSak,กระบี่,Krabi,8.262,98.63,2,1,1
แหลมสัก,LaemSak,กระบี่,Krabi,8.262,98.63,1,0,1
แขวงคลองขวาง,,กรุงเทพมหานคร,Bangkok,13.738,100.423,42,25,17
เกาะลันตาใหญ่,KoLantaYai,กระบี่,Krabi,7.224,99.08,32,17,15
เกาะลันตาใหญ่,KoLantaYai,กระบี่,Krabi,7.224,99.08,1,0,1
เกาะหมาก,KoMak,ตราด,Trat,11.804,102.383,12,7,5
บ้านใหญ่,BanYai,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.435,100.384,2,1,1
เกาะศรีบอยา,KoSiBoya,กระบี่,Krabi,7.829,98.988,16,10,6
แก่งคอย,KaengKhoi,สระบุรี,Saraburi,14.586,101.002,26,16,10
แขวงบางค้อ,,กรุงเทพมหานคร,Bangkok,13.702,100.476,147,84,63
อ่างทอง,AngThong,สุราษฎร์ธานี,Surat Thani,9.393,99.669,246,128,118
บางกุ้ง,BangKung,สมุทรสงคราม,Samut Songkhram,13.459,99.931,2,1,1
นครชัยศรี,NakhonChaiSi,นครปฐม,Nakhon Pathom,13.787,100.192,31,11,20
นครชัยศรี,NakhonChaiSi,นครปฐม,Nakhon Pathom,13.787,100.192,0,0,0
บางขนุน,BangKhanun,นนทบุรี,Nonthaburi,13.811,100.453,32,20,12
ท่าตะเภา,ThaTaphao,ชุมพร,Chumphon,10.498,99.179,127,70,57
